date,hour,order_id,user_id,financial_status,lineitem_sku,lineitem_name,lineitem_variant,color,genero,categoria,lineitem_quantity,lineitem_price,lineitem_total,lineitem_compare_at_price,lineitem_discount,lineitem_percent_discount,range_discount,discount_filter,con_descuento_items,sin_descuento_items
2023-09-23,19,WAIRA-10027,vitovalencia@hoz.es,paid,CAMI-AND-BLA-M,Camisa Andrea,M,Blanco,Unisex,Camisa,1,137.15,137.15,176.33,39.0,22.22,Descuento entre 20% y 30%,Con descuento,1,0
2024-07-11,1,WAIRA-10030,elisabet03@hotmail.com,paid,SHOR-JUA-GRI-L,Short Juan Hombre,L,Gris,Hombre,Short,1,130.05,130.05,187.58,58.0,30.67,Descuento entre 30% y 40%,Con descuento,1,0
2024-07-11,1,WAIRA-10030,elisabet03@hotmail.com,paid,CASA-DAN-AZU-XS,Casaca Daniela Mujer,XS,Azul Marino,Mujer,Casaca,1,143.5,143.5,169.73,26.0,15.45,Descuento entre 10% y 20%,Con descuento,1,0
2023-01-21,14,WAIRA-10031,kcampo@ballester-llorente.es,paid,CAMI-PED-CEL-S,Camisa Pedro Hombre,S,Celeste,Hombre,Camisa,1,164.31,164.31,189.76,25.0,13.41,Descuento entre 10% y 20%,Con descuento,1,0
2024-05-22,12,WAIRA-10032,araya@yahoo.com,paid,FALD-DAN-AZU-XS,Falda Daniela Mujer,XS,Azul Marino,Mujer,Falda,1,177.45,177.45,194.83,17.0,8.92,Sin descuento,Con descuento,1,0
2023-03-24,2,WAIRA-10033,vito23@ballester.es,paid,CASA-LUI-BEI-S,Casaca Luis Hombre,S,Beige,Hombre,Casaca,1,199.7,199.7,222.57,23.0,10.28,Descuento entre 10% y 20%,Con descuento,1,0
2023-06-28,17,WAIRA-10035,talaveraaurelio@quesada-soria.es,paid,SHOR-CAR-CEL-S,Short Carlos Hombre,S,Celeste,Hombre,Short,1,199.17,199.17,251.76,53.0,20.89,Descuento entre 20% y 30%,Con descuento,1,0
2024-09-14,20,WAIRA-10036,riosdanilo@cardona-alberdi.es,paid,SHOR-MAT-ROJ-M,Short Mateo Hombre,M,Rojo,Hombre,Short,2,146.96,293.92,177.04,30.0,16.99,Descuento entre 10% y 20%,Con descuento,2,0
2024-09-14,20,WAIRA-10036,riosdanilo@cardona-alberdi.es,paid,POLE-VAL-CEL-M,Polera Valeria Mujer,M,Celeste,Mujer,Polera,1,100.13,100.13,158.38,58.0,36.78,Descuento entre 30% y 40%,Con descuento,1,0
2024-09-14,20,WAIRA-10036,riosdanilo@cardona-alberdi.es,paid,CHOM-TEO-AZU-M,Chompa Teodosio,M,Azul Marino,Unisex,Chompa,3,157.29,471.87,201.64,44.0,21.99,Descuento entre 20% y 30%,Con descuento,3,0
2023-09-22,19,WAIRA-10037,juan-carlos84@hotmail.com,paid,CAMI-JUA-GRI-S,Camisa Juan Hombre,S,Gris,Hombre,Camisa,1,127.63,127.63,186.06,58.0,31.4,Descuento entre 30% y 40%,Con descuento,1,0
2023-09-22,19,WAIRA-10037,juan-carlos84@hotmail.com,paid,FALD-FER-CEL-M,Falda Fernanda Mujer,M,Celeste,Mujer,Falda,1,80.82,80.82,109.45,29.0,26.16,Descuento entre 20% y 30%,Con descuento,1,0
2023-09-22,19,WAIRA-10037,juan-carlos84@hotmail.com,paid,CHOM-PIL-BEI-XL,Chompa Pilar,XL,Beige,Unisex,Chompa,2,187.19,374.38,235.22,48.0,20.42,Descuento entre 20% y 30%,Con descuento,2,0
2023-09-22,19,WAIRA-10037,juan-carlos84@hotmail.com,paid,BLUS-CAR-BEI-XS,Blusa Carla Mujer,XS,Beige,Mujer,Blusa,1,180.49,180.49,201.56,21.0,10.45,Descuento entre 10% y 20%,Con descuento,1,0
2024-07-16,16,WAIRA-10038,amadanino@guitart-pons.es,paid,CHOM-DAN-ROJ-M,Chompa Daniela Mujer,M,Rojo,Mujer,Chompa,3,184.53,553.59,215.05,31.0,14.19,Descuento entre 10% y 20%,Con descuento,3,0
2024-07-16,16,WAIRA-10038,amadanino@guitart-pons.es,paid,PANT-CAM-BEI-XS,Pantalón Camila Mujer,XS,Beige,Mujer,Pantalón,2,187.56,375.12,198.89,11.0,5.7,Sin descuento,Con descuento,2,0
2024-07-16,16,WAIRA-10038,amadanino@guitart-pons.es,paid,VEST-AND-ROS-XS,Vestido Andrea Mujer,XS,Rosado,Mujer,Vestido,1,197.37,197.37,219.88,23.0,10.24,Descuento entre 10% y 20%,Con descuento,1,0
2023-12-17,20,WAIRA-10040,svicente@yahoo.com,paid,FALD-CAR-BEI-XS,Falda Carlos Hombre,XS,Beige,Hombre,Falda,1,142.48,142.48,197.41,55.0,27.83,Descuento entre 20% y 30%,Con descuento,1,0
2023-12-17,20,WAIRA-10040,svicente@yahoo.com,paid,SHOR-DAN-BLA-XL,Short Daniela Mujer,XL,Blanco,Mujer,Short,1,142.2,142.2,161.92,20.0,12.18,Descuento entre 10% y 20%,Con descuento,1,0
2024-03-18,14,WAIRA-10041,nicolasmacias@hotmail.com,paid,CASA-CAM-BEI-M,Casaca Camila Mujer,M,Beige,Mujer,Casaca,1,170.08,170.08,196.1,26.0,13.27,Descuento entre 10% y 20%,Con descuento,1,0
2023-05-15,5,WAIRA-10043,pastora41@cruz.org,paid,SACO-CAR-BEI-M,Saco Carlos Hombre,M,Beige,Hombre,Saco,1,132.58,132.58,174.55,42.0,24.04,Descuento entre 20% y 30%,Con descuento,1,0
2023-05-15,5,WAIRA-10043,pastora41@cruz.org,paid,SACO-CAY-AZU-L,Saco Cayetana,L,Azul,Unisex,Saco,1,126.69,126.69,157.6,31.0,19.61,Descuento entre 20% y 30%,Con descuento,1,0
2024-12-19,14,WAIRA-10044,ggisbert@yahoo.com,paid,CHOM-FÁT-AZU-S,Chompa Fátima,S,Azul Marino,Unisex,Chompa,3,82.92,248.76,96.39,13.0,13.97,Descuento entre 10% y 20%,Con descuento,3,0
2024-12-19,14,WAIRA-10044,ggisbert@yahoo.com,paid,POLO-DIE-BEI-M,Polo Diego Hombre,M,Beige,Hombre,Polo,1,157.96,157.96,171.04,13.0,7.65,Sin descuento,Con descuento,1,0
2024-04-19,6,WAIRA-10045,jimenezmaximiano@guzman.es,paid,SHOR-MAT-CEL-S,Short Mateo Hombre,S,Celeste,Hombre,Short,1,197.38,197.38,212.24,15.0,7.0,Sin descuento,Con descuento,1,0
2024-04-19,6,WAIRA-10045,jimenezmaximiano@guzman.es,paid,CAMI-ALO-ROS-XS,Camisa Alondra,XS,Rosado,Unisex,Camisa,1,160.46,160.46,195.72,35.0,18.02,Descuento entre 10% y 20%,Con descuento,1,0
2024-04-19,6,WAIRA-10045,jimenezmaximiano@guzman.es,paid,CAMI-CAR-AZU-XL,Camisa Carla Mujer,XL,Azul,Mujer,Camisa,1,95.76,95.76,145.85,50.0,34.34,Descuento entre 30% y 40%,Con descuento,1,0
2024-04-19,6,WAIRA-10045,jimenezmaximiano@guzman.es,paid,CASA-FER-ROS-XL,Casaca Fernanda Mujer,XL,Rosado,Mujer,Casaca,1,86.55,86.55,117.13,31.0,26.11,Descuento entre 20% y 30%,Con descuento,1,0
2023-08-19,19,WAIRA-10046,uriaseve@gmail.com,paid,CAMI-GER-VER-S,Camisa Gerardo,S,Verde,Unisex,Camisa,1,126.66,126.66,156.73,30.0,19.19,Descuento entre 20% y 30%,Con descuento,1,0
2023-08-19,19,WAIRA-10046,uriaseve@gmail.com,paid,SHOR-MAY-CEL-XL,Short Mayte,XL,Celeste,Unisex,Short,3,84.64,253.92,125.27,41.0,32.43,Descuento entre 30% y 40%,Con descuento,3,0
2023-08-19,19,WAIRA-10046,uriaseve@gmail.com,paid,SACO-CRI-MAR-XS,Saco Cristóbal,XS,Marrón,Unisex,Saco,3,180.52,541.56,231.22,51.0,21.93,Descuento entre 20% y 30%,Con descuento,3,0
2024-09-21,13,WAIRA-10048,ocabeza@gmail.com,paid,FALD-SAT-BEI-M,Falda Saturnino,M,Beige,Unisex,Falda,1,162.99,162.99,218.99,56.0,25.57,Descuento entre 20% y 30%,Con descuento,1,0
2024-09-02,23,WAIRA-10049,redondobernardita@yahoo.com,pending,SACO-SOF-AZU-XS,Saco Sofía Mujer,XS,Azul,Mujer,Saco,1,167.89,167.89,191.8,24.0,12.47,Descuento entre 10% y 20%,Con descuento,1,0
2023-12-05,6,WAIRA-10050,crespigil@ochoa.net,paid,POLE-LUI-ROS-XL,Polera Luis Hombre,XL,Rosado,Hombre,Polera,1,138.14,138.14,197.21,59.0,29.95,Descuento entre 30% y 40%,Con descuento,1,0
2024-04-13,6,WAIRA-10051,arielvega@asensio-llobet.net,paid,PANT-MIG-AZU-L,Pantalón Miguel Hombre,L,Azul Marino,Hombre,Pantalón,1,136.32,136.32,189.4,53.0,28.03,Descuento entre 20% y 30%,Con descuento,1,0
2024-09-02,4,WAIRA-10054,ildefonso40@gmail.com,paid,POLE-ANG-VER-M,Polera Angelina,M,Verde,Unisex,Polera,1,149.47,149.47,165.94,16.0,9.93,Descuento entre 10% y 20%,Con descuento,1,0
2024-09-02,4,WAIRA-10054,ildefonso40@gmail.com,paid,CHOM-EST-NEG-L,Chompa Estela,L,Negro,Unisex,Chompa,1,178.94,178.94,227.27,48.0,21.27,Descuento entre 20% y 30%,Con descuento,1,0
2023-11-13,12,WAIRA-10055,cosmemontalban@hotmail.com,paid,CAMI-JUA-BEI-S,Camisa Juan Hombre,S,Beige,Hombre,Camisa,1,84.57,84.57,101.31,17.0,16.52,Descuento entre 10% y 20%,Con descuento,1,0
2024-06-09,18,WAIRA-10056,canovasduilio@urena-acero.com,paid,PANT-DIE-MAR-XL,Pantalón Diego Hombre,XL,Marrón,Hombre,Pantalón,1,83.93,83.93,105.67,22.0,20.57,Descuento entre 20% y 30%,Con descuento,1,0
2024-06-09,18,WAIRA-10056,canovasduilio@urena-acero.com,paid,BLUS-OLG-VER-M,Blusa Olga,M,Verde,Unisex,Blusa,1,104.39,104.39,147.71,43.0,29.33,Descuento entre 30% y 40%,Con descuento,1,0
2024-06-09,18,WAIRA-10056,canovasduilio@urena-acero.com,paid,SHOR-VAL-ROJ-XL,Short Valeria Mujer,XL,Rojo,Mujer,Short,1,189.38,189.38,213.31,24.0,11.22,Descuento entre 10% y 20%,Con descuento,1,0
2023-11-07,9,WAIRA-10057,egodoy@gmail.com,paid,VEST-LUC-VER-XS,Vestido Lucía Mujer,XS,Verde,Mujer,Vestido,1,196.85,196.85,235.7,39.0,16.48,Descuento entre 10% y 20%,Con descuento,1,0
2023-04-15,7,WAIRA-10058,pelayo74@yahoo.com,paid,CHOM-NER-ROJ-S,Chompa Nereida,S,Rojo,Unisex,Chompa,1,192.76,192.76,247.97,55.0,22.26,Descuento entre 20% y 30%,Con descuento,1,0
2023-04-15,7,WAIRA-10058,pelayo74@yahoo.com,paid,FALD-SOF-ROS-XL,Falda Sofía Mujer,XL,Rosado,Mujer,Falda,1,179.82,179.82,226.23,46.0,20.51,Descuento entre 20% y 30%,Con descuento,1,0
2024-02-14,13,WAIRA-10059,victorino00@pol.es,paid,POLE-VAL-CEL-M,Polera Valeria Mujer,M,Celeste,Mujer,Polera,1,113.86,113.86,145.77,32.0,21.89,Descuento entre 20% y 30%,Con descuento,1,0
2024-05-17,7,WAIRA-10060,cintiasantana@yahoo.com,paid,CAMI-MÁX-GRI-M,Camisa Máximo,M,Gris,Unisex,Camisa,1,130.76,130.76,141.47,11.0,7.57,Sin descuento,Con descuento,1,0
2024-05-17,7,WAIRA-10060,cintiasantana@yahoo.com,paid,PANT-LEO-AZU-M,Pantalón Leopoldo,M,Azul,Unisex,Pantalón,1,174.15,174.15,199.87,26.0,12.87,Descuento entre 10% y 20%,Con descuento,1,0
2024-07-16,11,WAIRA-10062,giriarte@hotmail.com,pending,POLO-PEP-ROJ-M,Polo Pepita,M,Rojo,Unisex,Polo,1,119.87,119.87,136.1,16.0,11.93,Descuento entre 10% y 20%,Con descuento,1,0
2024-07-16,11,WAIRA-10062,giriarte@hotmail.com,pending,SHOR-CAR-BLA-L,Short Carla Mujer,L,Blanco,Mujer,Short,1,83.44,83.44,96.93,13.0,13.92,Descuento entre 10% y 20%,Con descuento,1,0
2023-02-13,9,WAIRA-10063,primitivatejera@pascual.es,pending,CHOM-CAM-VER-M,Chompa Camila Mujer,M,Verde,Mujer,Chompa,1,170.45,170.45,203.78,33.0,16.36,Descuento entre 10% y 20%,Con descuento,1,0
2023-02-13,9,WAIRA-10063,primitivatejera@pascual.es,pending,CAMI-DIE-GRI-L,Camisa Diego Hombre,L,Gris,Hombre,Camisa,1,113.15,113.15,166.74,54.0,32.14,Descuento entre 30% y 40%,Con descuento,1,0
2023-01-22,8,WAIRA-10064,delia51@hotmail.com,paid,POLO-AND-VER-S,Polo Andrés Hombre,S,Verde,Hombre,Polo,1,181.26,181.26,230.05,49.0,21.21,Descuento entre 20% y 30%,Con descuento,1,0
2023-01-22,8,WAIRA-10064,delia51@hotmail.com,paid,POLE-DAN-ROS-M,Polera Daniela Mujer,M,Rosado,Mujer,Polera,1,100.48,100.48,159.2,59.0,36.88,Descuento entre 30% y 40%,Con descuento,1,0
2024-07-18,17,WAIRA-10065,hermenegildopol@yahoo.com,paid,VEST-DIE-NEG-XL,Vestido Diego Hombre,XL,Negro,Hombre,Vestido,1,96.28,96.28,113.59,17.0,15.24,Descuento entre 10% y 20%,Con descuento,1,0
2024-07-18,17,WAIRA-10065,hermenegildopol@yahoo.com,paid,SACO-DIE-NEG-XS,Saco Diego Hombre,XS,Negro,Hombre,Saco,2,131.82,263.64,156.39,25.0,15.71,Descuento entre 10% y 20%,Con descuento,2,0
2024-12-01,19,WAIRA-10067,narciso24@higueras-bermudez.com,paid,FALD-LIN-NEG-M,Falda Lina,M,Negro,Unisex,Falda,1,145.87,145.87,189.67,44.0,23.09,Descuento entre 20% y 30%,Con descuento,1,0
2024-09-12,1,WAIRA-10068,igarcia@sotelo.com,paid,PANT-JUA-VER-S,Pantalón Juan Hombre,S,Verde,Hombre,Pantalón,1,138.21,138.21,170.34,32.0,18.86,Descuento entre 10% y 20%,Con descuento,1,0
2023-08-01,4,WAIRA-10069,donosojosefina@gmail.com,paid,POLE-DIE-BLA-M,Polera Diego Hombre,M,Blanco,Hombre,Polera,2,175.26,350.52,195.49,20.0,10.35,Descuento entre 10% y 20%,Con descuento,2,0
2023-08-01,4,WAIRA-10069,donosojosefina@gmail.com,paid,FALD-DAF-NEG-XL,Falda Dafne,XL,Negro,Unisex,Falda,1,155.1,155.1,184.4,29.0,15.89,Descuento entre 10% y 20%,Con descuento,1,0
2023-08-01,4,WAIRA-10069,donosojosefina@gmail.com,paid,CAMI-DAN-GRI-M,Camisa Daniela Mujer,M,Gris,Mujer,Camisa,1,117.86,117.86,149.72,32.0,21.28,Descuento entre 20% y 30%,Con descuento,1,0
2023-10-18,12,WAIRA-10071,bguillen@julian-miro.com,paid,CAMI-CAL-ROJ-L,Camisa Calixta,L,Rojo,Unisex,Camisa,2,197.52,395.04,240.17,43.0,17.76,Descuento entre 10% y 20%,Con descuento,2,0
2023-10-18,12,WAIRA-10071,bguillen@julian-miro.com,paid,POLO-YÉS-ROJ-M,Polo Yésica,M,Rojo,Unisex,Polo,1,194.35,194.35,222.09,28.0,12.49,Descuento entre 10% y 20%,Con descuento,1,0
2023-10-06,21,WAIRA-10072,benitoclemente@roman.net,paid,VEST-EST-CEL-XS,Vestido Esther,XS,Celeste,Unisex,Vestido,1,137.7,137.7,164.28,27.0,16.18,Descuento entre 10% y 20%,Con descuento,1,0
2023-10-06,21,WAIRA-10072,benitoclemente@roman.net,paid,FALD-CAM-AZU-M,Falda Camila Mujer,M,Azul Marino,Mujer,Falda,1,158.1,158.1,197.75,40.0,20.05,Descuento entre 20% y 30%,Con descuento,1,0
2024-06-10,10,WAIRA-10073,hortensia58@crespi-adadia.com,paid,FALD-MIG-NEG-XS,Falda Miguel Hombre,XS,Negro,Hombre,Falda,3,115.3,345.9,168.24,53.0,31.47,Descuento entre 30% y 40%,Con descuento,3,0
2023-05-04,9,WAIRA-10074,barredapacifica@gmail.com,pending,SACO-HÉC-AZU-XL,Saco Héctor,XL,Azul Marino,Unisex,Saco,1,92.37,92.37,146.55,54.0,36.97,Descuento entre 30% y 40%,Con descuento,1,0
2024-05-26,14,WAIRA-10075,htapia@ferrandez.com,paid,VEST-PED-ROS-S,Vestido Pedro Hombre,S,Rosado,Hombre,Vestido,3,99.7,299.1,141.66,42.0,29.62,Descuento entre 30% y 40%,Con descuento,3,0
2024-05-26,14,WAIRA-10075,htapia@ferrandez.com,paid,VEST-FER-BLA-L,Vestido Fernanda Mujer,L,Blanco,Mujer,Vestido,3,116.9,350.7,146.67,30.0,20.3,Descuento entre 20% y 30%,Con descuento,3,0
2024-05-26,14,WAIRA-10075,htapia@ferrandez.com,paid,FALD-FER-GRI-XS,Falda Fernanda Mujer,XS,Gris,Mujer,Falda,1,145.81,145.81,181.2,35.0,19.53,Descuento entre 20% y 30%,Con descuento,1,0
2024-05-26,14,WAIRA-10075,htapia@ferrandez.com,paid,BLUS-YÉS-NEG-M,Blusa Yéssica,M,Negro,Unisex,Blusa,1,197.65,197.65,210.33,13.0,6.03,Sin descuento,Con descuento,1,0
2023-06-22,4,WAIRA-10076,azaharjauregui@yahoo.com,paid,SHOR-MAT-MAR-S,Short Mateo Hombre,S,Marrón,Hombre,Short,1,152.23,152.23,167.67,15.0,9.21,Descuento entre 10% y 20%,Con descuento,1,0
2024-11-30,16,WAIRA-10078,dandrade@enriquez-vaquero.com,paid,CASA-NAT-BLA-M,Casaca Natividad,M,Blanco,Unisex,Casaca,1,119.68,119.68,164.3,45.0,27.16,Descuento entre 20% y 30%,Con descuento,1,0
2023-09-19,23,WAIRA-10079,nelida58@yahoo.com,paid,POLO-AND-AZU-M,Polo Andrés Hombre,M,Azul Marino,Hombre,Polo,1,80.97,80.97,120.06,39.0,32.56,Descuento entre 30% y 40%,Con descuento,1,0
2023-03-19,4,WAIRA-10080,clotildemorata@milla-piquer.com,paid,SACO-SOF-ROS-M,Saco Sofía Mujer,M,Rosado,Mujer,Saco,1,138.41,138.41,186.88,48.0,25.94,Descuento entre 20% y 30%,Con descuento,1,0
2024-12-06,3,WAIRA-10081,joverrafaela@quintana.com,paid,SHOR-CAR-NEG-S,Short Carlos Hombre,S,Negro,Hombre,Short,1,133.33,133.33,187.48,54.0,28.88,Descuento entre 20% y 30%,Con descuento,1,0
2024-08-04,15,WAIRA-10082,psegarra@melendez-suarez.es,pending,FALD-ÁFR-BEI-S,Falda África,S,Beige,Unisex,Falda,1,122.15,122.15,152.65,31.0,19.98,Descuento entre 20% y 30%,Con descuento,1,0
2024-08-04,15,WAIRA-10082,psegarra@melendez-suarez.es,pending,CHOM-AND-BEI-M,Chompa Andrea Mujer,M,Beige,Mujer,Chompa,1,180.18,180.18,219.44,39.0,17.89,Descuento entre 10% y 20%,Con descuento,1,0
2024-08-04,15,WAIRA-10082,psegarra@melendez-suarez.es,pending,POLO-CAR-NEG-L,Polo Carla Mujer,L,Negro,Mujer,Polo,2,172.25,344.5,204.84,33.0,15.91,Descuento entre 10% y 20%,Con descuento,2,0
2023-10-22,20,WAIRA-10083,guadalupe73@valero.com,paid,POLO-AND-VER-M,Polo Andrea Mujer,M,Verde,Mujer,Polo,1,159.17,159.17,188.23,29.0,15.44,Descuento entre 10% y 20%,Con descuento,1,0
2023-10-22,20,WAIRA-10083,guadalupe73@valero.com,paid,PANT-LEO-AZU-XL,Pantalón Leonardo,XL,Azul,Unisex,Pantalón,1,110.17,110.17,138.0,28.0,20.17,Descuento entre 20% y 30%,Con descuento,1,0
2023-05-11,3,WAIRA-10084,rogeliotolosa@acedo.com,paid,VEST-MAR-ROS-XS,Vestido María Fernanda,XS,Rosado,Unisex,Vestido,1,192.91,192.91,241.63,49.0,20.16,Descuento entre 20% y 30%,Con descuento,1,0
2023-05-11,3,WAIRA-10084,rogeliotolosa@acedo.com,paid,PANT-CIP-AZU-M,Pantalón Cipriano,M,Azul Marino,Unisex,Pantalón,1,130.89,130.89,183.54,53.0,28.69,Descuento entre 20% y 30%,Con descuento,1,0
2024-11-30,3,WAIRA-10087,warnau@carmona-morillo.com,paid,CAMI-CAM-AZU-M,Camisa Camila Mujer,M,Azul Marino,Mujer,Camisa,1,135.41,135.41,171.46,36.0,21.03,Descuento entre 20% y 30%,Con descuento,1,0
