date,hour,order_id,user_id,financial_status,categoria,genero,billing_city,payment_method,discount_code,discount_amount,subtotal
2023-03-20,0,WAIRA-10808,luisina82@gmail.com,paid,Vestido,Unisex,San Luis,Mercado Pago,SUERTE,78.0,181.57
2024-06-16,0,WAIRA-10812,azaharmartorell@coello-uriarte.com,paid,Saco,Unisex,Miraflores,Yape,,0.0,140.09
2024-10-10,0,WAIRA-10907,belen65@hotmail.com,paid,Saco,Unisex,San Borja,Mercado Pago,,0.0,219.93
2024-01-06,0,WAIRA-10917,glara@bustos-folch.es,paid,Saco,Unisex,Magdalena,Mercado Pago,,0.0,364.39
2023-05-24,0,WAIRA-10921,somozairis@valbuena-herrera.com,paid,Short,Mujer,San Luis,Yape,,0.0,520.61
2024-10-13,0,WAIRA-11017,bernardino66@yahoo.com,paid,Vestido,Unisex,Lince,Yape,,0.0,1044.21
2023-05-12,0,WAIRA-11033,joaquina34@cases-huertas.es,paid,Short,Unisex,La Victoria,Yape,,0.0,179.76
2023-08-20,0,WAIRA-11037,espejosusanita@llopis-chacon.com,paid,Polera,Mujer,San Miguel,Mercado Pago,,0.0,403.47
2024-11-04,0,WAIRA-11042,valerionarvaez@segarra.net,paid,Polo,Unisex,San Miguel,Mercado Pago,,0.0,783.92
2023-05-24,0,WAIRA-11054,quirinoboada@mercader.net,paid,Short,Hombre,San Luis,Yape,,0.0,110.53
2024-07-03,0,WAIRA-11075,mateumarco@yahoo.com,pending,Vestido,Unisex,Pueblo Libre,Mercado Pago,,0.0,705.72
2024-03-03,0,WAIRA-11105,murillonilo@yahoo.com,paid,Casaca,Hombre,San Miguel,Mercado Pago,BIENVENIDA,30.0,267.26
2023-03-08,0,WAIRA-11173,bernadpaulina@yahoo.com,paid,Polo,Unisex,La Molina,Yape,,0.0,373.28
2023-11-20,0,WAIRA-11246,corominassusanita@hotmail.com,paid,Short,Unisex,Lince,Yape,BIENVENIDA,51.0,460.66
2024-06-03,0,WAIRA-11340,kcerda@batlle-garay.net,paid,Short,Unisex,San Isidro,Visa,BIENVENIDA,26.0,232.63
2023-02-17,0,WAIRA-11359,aguilamaribel@aguilera.es,paid,Pantalón,Unisex,Barranco,Mercado Pago,,0.0,287.99
2024-01-25,0,WAIRA-11401,agustinguijarro@chaves.es,paid,Short,Unisex,San Miguel,Yape,,0.0,672.83
2023-12-03,0,WAIRA-11505,murteobaldo@gmail.com,paid,Polo,Unisex,San Luis,Mercado Pago,,0.0,317.09
2023-02-01,0,WAIRA-11611,jordicalvet@bauza-cantero.org,paid,Polera,Mujer,La Victoria,Yape,,0.0,162.43
2023-11-11,0,WAIRA-11616,ztellez@gmail.com,paid,Polera,Unisex,San Miguel,Mercado Pago,,0.0,501.9
2023-11-26,0,WAIRA-11619,tovarandres-felipe@lledo.org,paid,Falda,Mujer,San Miguel,Yape,,0.0,168.12
2023-11-08,0,WAIRA-11643,fatimabenavent@gmail.com,paid,Short,Unisex,Pueblo Libre,Mercado Pago,,0.0,262.43
2023-09-01,0,WAIRA-11654,zbenitez@yahoo.com,paid,Polo,Unisex,Pueblo Libre,Yape,SUERTE,176.0,409.58
2024-05-02,0,WAIRA-11666,mosqueraconcepcion@alberdi.net,paid,Saco,Mujer,Miraflores,Visa,,0.0,494.82
2024-02-24,0,WAIRA-11668,arjonavictor@hotmail.com,paid,Vestido,Unisex,Chorrillos,Yape,,0.0,406.98
2023-05-07,0,WAIRA-11678,karranz@andres.com,paid,Short,Unisex,Jesús María,Yape,,0.0,627.95
2023-06-28,0,WAIRA-11699,jorgesoler@cuellar-vives.es,pending,Vestido,Unisex,La Molina,Transferencia,,0.0,171.91
2023-02-01,0,WAIRA-11746,antonio53@hotmail.com,paid,Pantalón,Unisex,La Victoria,Mercado Pago,BIENVENIDA,44.0,398.66
2024-06-06,0,WAIRA-11766,flozano@angulo.com,paid,Saco,Mujer,Barranco,Mercado Pago,,0.0,241.66
2024-07-30,0,WAIRA-11776,manolapulido@gmail.com,paid,Vestido,Unisex,La Molina,Mercado Pago,,0.0,926.32
2023-05-07,0,WAIRA-11791,iromero@casanovas.com,paid,Blusa,Unisex,Miraflores,Yape,,0.0,131.16
2024-09-20,0,WAIRA-11852,vanesa24@yahoo.com,paid,Vestido,Mujer,Santiago de Surco,Mercado Pago,,0.0,310.99
2024-04-10,0,WAIRA-11853,arcelia86@hotmail.com,paid,Polera,Unisex,San Luis,Mercado Pago,,0.0,489.52
2024-03-08,0,WAIRA-11887,vilanovaruben@almeida.com,paid,Vestido,Unisex,Lince,Mercado Pago,,0.0,609.78
2024-03-27,0,WAIRA-11890,lcriado@yahoo.com,pending,Saco,Unisex,La Molina,Mercado Pago,,0.0,421.74
2024-05-06,0,WAIRA-11895,pineiromarcelo@bou.com,paid,Casaca,Unisex,La Victoria,Yape,CYBER,97.0,96.5
2024-05-12,0,WAIRA-11916,sergio72@cuevas-portero.com,paid,Casaca,Unisex,La Molina,Mercado Pago,,0.0,373.59
2023-07-26,0,WAIRA-11983,abermudez@yahoo.com,paid,Polo,Unisex,San Isidro,Visa,,0.0,102.16
2024-09-11,0,WAIRA-11987,madridruperta@bermudez.net,paid,Vestido,Mujer,Surquillo,Mercado Pago,SUERTE,129.0,301.37
2024-02-03,0,WAIRA-11989,kcamps@yahoo.com,paid,Short,Unisex,La Molina,Transferencia,,0.0,921.41
2023-04-18,0,WAIRA-12009,adolfo04@hotmail.com,paid,Casaca,Hombre,La Molina,Mercado Pago,,0.0,131.6
2023-05-07,0,WAIRA-12018,cipriano22@vila-riera.net,paid,Polo,Unisex,Barranco,Visa,BIENVENIDA,20.0,183.71
2023-03-18,0,WAIRA-12081,lcastejon@ropero.com,paid,Short,Mujer,San Isidro,Transferencia,,0.0,324.88
2023-06-20,0,WAIRA-12084,encarnacionherrera@yahoo.com,paid,Falda,Mujer,Surquillo,Mercado Pago,,0.0,106.73
2024-02-18,0,WAIRA-12107,camposligia@yahoo.com,paid,Polo,Mujer,La Molina,Transferencia,,0.0,154.23
2023-11-11,0,WAIRA-12124,tomasa63@gmail.com,paid,Polo,Unisex,La Molina,Mercado Pago,,0.0,248.5
2024-03-31,0,WAIRA-12165,aristidesvinas@gmail.com,paid,Short,Mujer,San Borja,Yape,,0.0,394.64
2023-05-01,0,WAIRA-12245,carmina30@barcena-cuellar.es,paid,Polera,Unisex,San Miguel,Mercado Pago,,0.0,905.2
2024-01-29,0,WAIRA-12304,trinidadseco@hotmail.com,paid,Vestido,Mujer,Miraflores,Transferencia,,0.0,316.23
2024-11-03,0,WAIRA-12375,luciano72@gmail.com,paid,Polera,Unisex,Surquillo,Visa,BIENVENIDA,27.0,242.06
2023-03-12,0,WAIRA-12456,isidorocalderon@zaragoza-caro.com,paid,Polera,Unisex,San Miguel,Yape,,0.0,262.52
2023-05-13,0,WAIRA-12468,severino81@esteve-salas.com,paid,Saco,Mujer,La Victoria,Mercado Pago,SUERTE,150.0,350.28
2024-05-23,0,WAIRA-12478,uledesma@yahoo.com,paid,Vestido,Hombre,La Victoria,Yape,,0.0,98.95
2023-03-15,0,WAIRA-12530,angulopaulino@gmail.com,paid,Short,Unisex,Chorrillos,Mercado Pago,CYBER,401.0,400.86
2023-04-29,0,WAIRA-12567,guillermoquero@maza-rosado.com,paid,Saco,Mujer,La Molina,Yape,CYBER,308.0,308.32
2024-03-30,0,WAIRA-12603,renato57@gmail.com,paid,Polo,Mujer,Chorrillos,Visa,,0.0,484.06
2024-11-01,0,WAIRA-12701,aliciaescobar@abad.org,paid,Vestido,Unisex,San Isidro,Mercado Pago,,0.0,737.12
2024-07-07,0,WAIRA-12708,coralrequena@barco.es,paid,Vestido,Unisex,Miraflores,Yape,,0.0,165.42
2023-06-19,0,WAIRA-12718,ledesmafebe@yahoo.com,pending,Saco,Unisex,Barranco,Mercado Pago,,0.0,591.9
2024-03-22,0,WAIRA-12741,maxi52@gmail.com,paid,Chompa,Unisex,Miraflores,Mercado Pago,CYBER,76.0,75.91
2023-11-16,0,WAIRA-12789,alcaldemarcela@hotmail.com,paid,Short,Unisex,San Miguel,Mercado Pago,,0.0,177.98
2023-04-14,0,WAIRA-12812,canalesalmudena@hotmail.com,paid,Vestido,Mujer,Lince,Yape,,0.0,922.7
2024-07-05,0,WAIRA-12841,lujanmamen@cortina-sandoval.com,paid,Polo,Hombre,Santiago de Surco,Mercado Pago,,0.0,477.92
2023-01-13,0,WAIRA-12846,ruben85@priego-herrero.com,pending,Chompa,Mujer,Santiago de Surco,Mercado Pago,,0.0,176.76
2024-10-18,0,WAIRA-12849,arocaanacleto@galiano.net,paid,Falda,Mujer,Surquillo,Visa,,0.0,81.56
2024-07-18,0,WAIRA-12869,yesicapalomares@hotmail.com,paid,Polera,Unisex,San Isidro,Mercado Pago,,0.0,369.83
2024-01-19,0,WAIRA-12926,infantelupe@yahoo.com,paid,Casaca,Hombre,Surquillo,Mercado Pago,,0.0,136.53
2023-06-06,0,WAIRA-12932,mauricioolmo@gmail.com,paid,Pantalón,Unisex,La Molina,Mercado Pago,SUERTE,63.0,147.59
2023-12-09,0,WAIRA-12969,carolinabarba@soto.es,paid,Falda,Mujer,San Luis,Mercado Pago,,0.0,382.84
2023-06-29,0,WAIRA-12998,bgimeno@olive.net,paid,Short,Unisex,Pueblo Libre,Mercado Pago,,0.0,734.96
2023-04-08,0,WAIRA-13026,jerezerasmo@hotmail.com,paid,Saco,Unisex,Lince,Yape,,0.0,390.35
2024-09-07,0,WAIRA-13053,ignacio52@gmail.com,paid,Polo,Unisex,Magdalena,Yape,,0.0,713.62
2024-02-14,0,WAIRA-13054,batllegabino@gmail.com,paid,Polo,Unisex,San Isidro,Mercado Pago,,0.0,135.54
2023-05-26,0,WAIRA-13065,mosqueraeric@gmail.com,paid,Vestido,Unisex,San Borja,Transferencia,,0.0,278.68
2023-06-03,0,WAIRA-13082,barbapetrona@hotmail.com,paid,Vestido,Unisex,Lince,Yape,,0.0,727.77
2024-02-08,0,WAIRA-13119,paulinaricart@gmail.com,paid,Short,Mujer,La Victoria,Yape,CYBER,307.0,307.03
2023-02-27,0,WAIRA-13120,benitobarrena@abella.org,paid,Blusa,Unisex,La Victoria,Mercado Pago,,0.0,184.25
2024-04-15,0,WAIRA-13122,reneramirez@roura.com,pending,Polo,Mujer,Surquillo,Yape,,0.0,636.73
2023-09-14,0,WAIRA-13147,danilo52@hotmail.com,pending,Polo,Unisex,San Borja,Mercado Pago,,0.0,178.76
2023-03-24,0,WAIRA-13151,tparra@gmail.com,pending,Casaca,Mujer,San Luis,Yape,,0.0,186.01
2024-10-23,0,WAIRA-13168,herediaberta@yahoo.com,paid,Falda,Hombre,Jesús María,Transferencia,,0.0,146.09
2024-02-21,0,WAIRA-13171,amelia23@giner.org,paid,Saco,Unisex,Santiago de Surco,Visa,,0.0,92.89
2023-07-08,0,WAIRA-13179,bibiana65@pardo.es,paid,Chompa,Mujer,Chorrillos,Yape,,0.0,399.46
2023-01-21,0,WAIRA-13269,bruno97@hotmail.com,paid,Polo,Hombre,Jesús María,Visa,,0.0,149.16
2024-01-23,0,WAIRA-13354,lopezlucila@escamilla.com,paid,Polo,Unisex,Chorrillos,Mercado Pago,,0.0,794.14
2024-11-23,0,WAIRA-13368,jordan91@yahoo.com,paid,Falda,Hombre,La Molina,Mercado Pago,,0.0,161.0
2024-10-26,0,WAIRA-13411,bellosalvador@hotmail.com,paid,Pantalón,Mujer,Lince,Yape,,0.0,162.61
2024-04-03,0,WAIRA-13452,reynaldomateu@cervera.es,paid,Polo,Unisex,Barranco,Mercado Pago,,0.0,487.79
2023-04-16,0,WAIRA-13455,hsevillano@gmail.com,paid,Vestido,Mujer,San Miguel,Transferencia,,0.0,786.01
2024-12-07,0,WAIRA-13458,bellidocandela@yahoo.com,paid,Polo,Mujer,Magdalena,Mercado Pago,,0.0,747.05
2023-08-10,0,WAIRA-13462,valdesmarcos@cardenas-vigil.org,paid,Short,Unisex,Magdalena,Yape,,0.0,640.77
2023-01-16,0,WAIRA-13496,abermejo@gmail.com,paid,Vestido,Mujer,Pueblo Libre,Mercado Pago,,0.0,412.28
2023-05-22,0,WAIRA-13497,zabalajuan-luis@bru-barrios.es,paid,Short,Mujer,Chorrillos,Yape,,0.0,636.71
2024-05-13,0,WAIRA-13513,jose-mari04@yahoo.com,pending,Vestido,Mujer,La Victoria,Mercado Pago,,0.0,504.04
2024-08-30,0,WAIRA-13578,bernalvisitacion@arranz.es,paid,Pantalón,Unisex,San Borja,Yape,,0.0,481.52
2024-02-28,0,WAIRA-13584,salvador22@yahoo.com,pending,Saco,Hombre,Santiago de Surco,Yape,,0.0,281.99
2024-11-14,0,WAIRA-13609,marcial89@verdejo-cases.es,paid,Falda,Unisex,Surquillo,Transferencia,,0.0,710.08
2024-09-29,0,WAIRA-13617,arenasmireia@yahoo.com,paid,Saco,Mujer,Miraflores,Mercado Pago,,0.0,132.18
2023-06-03,0,WAIRA-13647,arcossosimo@giron.es,paid,Falda,Unisex,Magdalena,Visa,CYBER,223.0,222.92
2024-10-01,0,WAIRA-13658,valderramacharo@camino-pastor.com,paid,Short,Mujer,Santiago de Surco,Mercado Pago,,0.0,148.71
2023-08-31,0,WAIRA-13684,martigustavo@yahoo.com,paid,Saco,Unisex,Pueblo Libre,Mercado Pago,,0.0,349.98
2023-04-11,0,WAIRA-13720,ulisesdavila@sanmartin.com,paid,Short,Mujer,Surquillo,Mercado Pago,,0.0,476.67
2023-08-15,0,WAIRA-13773,jose-antonioescribano@barrios-cifuentes.es,paid,Pantalón,Unisex,Surquillo,Yape,,0.0,778.4
2024-02-14,0,WAIRA-13809,alamoleandro@hotmail.com,paid,Chompa,Mujer,San Miguel,Mercado Pago,CYBER,147.0,146.7
2023-12-11,0,WAIRA-13823,berrocalxiomara@yahoo.com,paid,Polo,Unisex,La Molina,Transferencia,,0.0,638.29
2024-02-22,0,WAIRA-13832,lupe77@hotmail.com,pending,Saco,Unisex,Miraflores,Mercado Pago,,0.0,683.12
2024-05-12,0,WAIRA-13851,tcases@baena-coronado.es,paid,Pantalón,Hombre,La Victoria,Yape,,0.0,706.49
2024-09-22,0,WAIRA-13853,msalas@gmail.com,paid,Short,Hombre,San Miguel,Mercado Pago,SUERTE,35.0,81.41
2024-05-30,0,WAIRA-13879,mario73@yahoo.com,pending,Short,Unisex,Miraflores,Yape,,0.0,785.13
2024-01-18,0,WAIRA-13905,fuentespepita@davila.org,paid,Polera,Unisex,San Isidro,Transferencia,,0.0,545.93
2024-09-08,0,WAIRA-13908,ichacon@portillo.com,paid,Saco,Unisex,Jesús María,Mercado Pago,,0.0,394.27
2024-07-10,0,WAIRA-14075,piacarmona@zamora.es,paid,Vestido,Hombre,Chorrillos,Mercado Pago,,0.0,145.55
2023-05-01,0,WAIRA-14110,spalma@sole.es,paid,Pantalón,Unisex,Jesús María,Yape,,0.0,156.72
2023-08-01,0,WAIRA-14116,tomastenorio@hernando.com,paid,Polera,Unisex,San Luis,Mercado Pago,CYBER,204.0,203.57
2023-10-29,0,WAIRA-14121,felixhuertas@bartolome-botella.com,paid,Short,Unisex,San Borja,Mercado Pago,,0.0,519.64
2024-06-02,0,WAIRA-14162,renatomuro@hotmail.com,paid,Vestido,Unisex,Miraflores,Mercado Pago,,0.0,751.13
2023-08-03,0,WAIRA-14170,xfarre@riquelme-narvaez.com,paid,Vestido,Unisex,La Victoria,Mercado Pago,,0.0,162.06
2023-09-20,0,WAIRA-14196,oferrando@ayllon-julia.com,paid,Saco,Unisex,Barranco,Visa,,0.0,584.45
2023-02-11,0,WAIRA-14267,ignacioamoros@gaya.es,paid,Short,Unisex,Surquillo,Mercado Pago,,0.0,115.79
2024-12-15,0,WAIRA-14280,wmayo@girona.net,pending,Short,Unisex,San Miguel,Yape,,0.0,372.28
2023-07-12,0,WAIRA-14331,muletseve@hotmail.com,paid,Vestido,Unisex,San Isidro,Visa,,0.0,628.2
2024-08-21,0,WAIRA-14355,murjose@cruz.com,paid,Short,Unisex,San Borja,Yape,CYBER,300.0,300.46
2023-12-11,0,WAIRA-14360,sedanomatias@gmail.com,paid,Short,Unisex,Lince,Yape,,0.0,596.32
2023-09-05,0,WAIRA-14365,adelia12@jove-romeu.com,paid,Casaca,Unisex,Magdalena,Yape,,0.0,1161.71
2024-09-26,0,WAIRA-14383,ypages@gmail.com,pending,Vestido,Mujer,San Borja,Transferencia,,0.0,568.99
2023-12-04,0,WAIRA-14392,nevadoanselmo@hotmail.com,pending,Saco,Unisex,Surquillo,Mercado Pago,,0.0,825.92
2024-06-17,0,WAIRA-14411,trinidadllabres@gmail.com,paid,Blusa,Hombre,Chorrillos,Transferencia,,0.0,154.47
2023-10-23,0,WAIRA-14421,abellanleopoldo@yahoo.com,paid,Camisa,Unisex,San Miguel,Yape,,0.0,156.51
2024-10-12,0,WAIRA-14437,barrosohector@gmail.com,paid,Short,Hombre,San Miguel,Mercado Pago,,0.0,233.02
2023-06-17,0,WAIRA-14459,mlumbreras@luna.es,pending,Pantalón,Unisex,San Isidro,Visa,,0.0,642.33
2024-01-25,0,WAIRA-14528,tonobejarano@hotmail.com,paid,Polo,Unisex,San Isidro,Mercado Pago,,0.0,433.49
2024-08-14,0,WAIRA-14539,reignuria@rio.com,paid,Vestido,Unisex,Chorrillos,Mercado Pago,,0.0,444.55
2024-01-21,0,WAIRA-14553,jose-luispou@hotmail.com,paid,Vestido,Mujer,Surquillo,Mercado Pago,,0.0,364.95
2023-11-28,0,WAIRA-14560,fitobalaguer@tenorio.es,paid,Vestido,Unisex,Barranco,Mercado Pago,,0.0,459.75
2023-02-27,0,WAIRA-14578,eleuteriorios@guardiola.es,paid,Chompa,Hombre,Santiago de Surco,Mercado Pago,,0.0,147.92
2024-12-11,0,WAIRA-14595,egeamanolo@yahoo.com,paid,Short,Mujer,Pueblo Libre,Mercado Pago,,0.0,252.64
2024-11-26,0,WAIRA-14613,bonifacio89@gmail.com,paid,Pantalón,Hombre,Chorrillos,Mercado Pago,,0.0,262.82
2024-09-28,0,WAIRA-14616,maloemilia@marin.com,paid,Vestido,Mujer,La Victoria,Mercado Pago,,0.0,150.94
2023-08-25,0,WAIRA-14624,pbayo@yahoo.com,paid,Saco,Mujer,Miraflores,Mercado Pago,,0.0,258.96
2024-07-11,0,WAIRA-14669,maria-manuela80@yahoo.com,paid,Polo,Unisex,Pueblo Libre,Yape,,0.0,985.68
2024-07-19,0,WAIRA-14678,bautista11@perera-rubio.com,paid,Polera,Mujer,San Miguel,Mercado Pago,BIENVENIDA,9.0,76.76
2024-01-09,0,WAIRA-14680,uroca@sainz.es,paid,Saco,Mujer,Pueblo Libre,Mercado Pago,,0.0,520.93
2024-08-09,0,WAIRA-14700,pliniovilar@vera.net,paid,Saco,Unisex,Surquillo,Mercado Pago,,0.0,552.52
2024-06-20,0,WAIRA-14704,romanangel@cadenas.net,paid,Pantalón,Unisex,San Miguel,Yape,,0.0,1039.01
2023-03-09,0,WAIRA-14708,boadaprudencio@bayona.es,paid,Polo,Unisex,San Isidro,Mercado Pago,,0.0,246.66
2023-10-29,0,WAIRA-14788,martirioribera@yahoo.com,paid,Vestido,Mujer,Chorrillos,Visa,,0.0,719.9
2023-10-08,0,WAIRA-14903,anunciacioncollado@perera.com,pending,Short,Mujer,Surquillo,Mercado Pago,,0.0,115.83
2023-12-07,0,WAIRA-14920,agapitotamayo@hotmail.com,paid,Blusa,Hombre,Miraflores,Visa,,0.0,153.46
2023-05-16,0,WAIRA-14922,nevadoxiomara@garcia-villaverde.es,pending,Short,Unisex,San Borja,Yape,,0.0,930.44
2024-07-01,0,WAIRA-14932,porcelamador@noriega.org,paid,Vestido,Unisex,Chorrillos,Mercado Pago,,0.0,479.14
2023-05-21,0,WAIRA-15031,valerayago@lopez.org,paid,Vestido,Unisex,Pueblo Libre,Mercado Pago,,0.0,796.5
2024-03-27,0,WAIRA-15064,escolanofelipe@hotmail.com,pending,Short,Mujer,Lince,Yape,,0.0,594.45
2023-02-08,0,WAIRA-15073,canetramon@cabeza-molina.com,paid,Polo,Unisex,Barranco,Yape,,0.0,569.64
2024-10-09,0,WAIRA-15095,sarita92@yahoo.com,paid,Vestido,Unisex,La Molina,Mercado Pago,,0.0,732.41
2024-08-26,0,WAIRA-15116,fsobrino@hotmail.com,paid,Short,Unisex,Barranco,Mercado Pago,,0.0,915.12
2023-08-10,0,WAIRA-15151,uarevalo@arenas.com,paid,Polo,Unisex,Miraflores,Mercado Pago,,0.0,394.5
2023-04-24,0,WAIRA-15152,vivesvirgilio@adadia-calderon.es,paid,Chompa,Hombre,San Borja,Visa,,0.0,121.17
2024-10-28,0,WAIRA-15175,sedanoflorina@solsona.es,paid,Blusa,Unisex,Chorrillos,Mercado Pago,,0.0,341.86
2024-06-05,0,WAIRA-15218,aguzman@torre-aznar.es,paid,Camisa,Mujer,San Luis,Mercado Pago,BIENVENIDA,12.0,110.81
2023-02-17,0,WAIRA-15260,ayusoalcides@gmail.com,paid,Polera,Mujer,Jesús María,Mercado Pago,SUERTE,108.0,252.02
2023-01-19,0,WAIRA-15298,araujorosa@olivera.com,paid,Short,Unisex,Chorrillos,Mercado Pago,,0.0,543.42
2024-06-13,0,WAIRA-15307,remigio44@perera-hidalgo.es,paid,Pantalón,Unisex,Chorrillos,Mercado Pago,CYBER,301.0,301.09
2023-02-02,0,WAIRA-15312,jose-luismesa@yahoo.com,paid,Vestido,Unisex,San Miguel,Transferencia,,0.0,645.55
2024-03-13,0,WAIRA-15382,remigio73@hotmail.com,paid,Short,Unisex,Lince,Yape,,0.0,309.96
2024-04-16,0,WAIRA-15395,miguelfernanda@hotmail.com,paid,Chompa,Unisex,San Isidro,Mercado Pago,,0.0,263.94
2023-08-08,0,WAIRA-15396,luquecrescencia@calatayud.com,pending,Pantalón,Unisex,La Victoria,Yape,,0.0,301.14
2024-03-24,0,WAIRA-15404,ogarriga@hotmail.com,paid,Vestido,Mujer,Barranco,Yape,,0.0,861.66
2023-01-28,0,WAIRA-15405,salasmaite@gmail.com,paid,Short,Mujer,San Luis,Visa,,0.0,351.13
2023-11-29,0,WAIRA-15433,ferreroanna@hotmail.com,paid,Polo,Unisex,Santiago de Surco,Yape,,0.0,276.57
2023-06-12,0,WAIRA-15496,emperatriz68@bonet-quintero.net,paid,Vestido,Unisex,Barranco,Mercado Pago,,0.0,427.89
2024-04-03,0,WAIRA-15561,jesus70@yahoo.com,pending,Vestido,Unisex,San Luis,Mercado Pago,,0.0,534.26
2024-12-03,0,WAIRA-15571,xpacheco@cabezas.es,paid,Vestido,Unisex,Barranco,Mercado Pago,,0.0,541.87
2024-10-02,0,WAIRA-15580,mhernandez@cuadrado.com,paid,Vestido,Unisex,Santiago de Surco,Mercado Pago,,0.0,691.63
2023-04-15,0,WAIRA-15591,opeinado@solis.net,paid,Pantalón,Unisex,Surquillo,Visa,SUERTE,143.0,333.21
2024-05-03,0,WAIRA-15598,hbarbero@llobet-rubio.es,pending,Polo,Unisex,Santiago de Surco,Mercado Pago,,0.0,813.5
2023-09-18,0,WAIRA-15671,marcialramis@montserrat.com,paid,Short,Mujer,San Borja,Yape,,0.0,354.44
2023-03-15,0,WAIRA-15702,cgamez@palma-bernad.com,paid,Pantalón,Unisex,San Miguel,Mercado Pago,SUERTE,67.0,156.51
2024-07-04,0,WAIRA-15808,ursulaprats@yahoo.com,paid,Short,Mujer,Chorrillos,Mercado Pago,,0.0,217.01
2023-10-29,0,WAIRA-15814,yaizagabaldon@hotmail.com,paid,Vestido,Unisex,La Molina,Mercado Pago,CYBER,68.0,68.13
2024-11-21,0,WAIRA-15826,mzorrilla@canizares.net,paid,Polo,Mujer,Lince,Mercado Pago,,0.0,268.11
2023-10-05,0,WAIRA-15836,amoresgerman@yahoo.com,paid,Short,Mujer,Pueblo Libre,Yape,,0.0,245.84
2023-08-01,0,WAIRA-15887,carrascoherminia@hotmail.com,paid,Polera,Mujer,La Victoria,Transferencia,CYBER,84.0,83.62
2023-07-11,0,WAIRA-15892,ericbilbao@gisbert.es,paid,Vestido,Unisex,Barranco,Yape,,0.0,294.54
2023-12-07,0,WAIRA-15895,nieves54@diaz.com,pending,Vestido,Unisex,Jesús María,Mercado Pago,,0.0,634.37
2024-03-23,0,WAIRA-15902,bautistaeloisa@yahoo.com,paid,Chompa,Unisex,San Miguel,Mercado Pago,,0.0,85.68
2023-03-08,0,WAIRA-15938,valbuenadavid@hotmail.com,paid,Falda,Mujer,San Borja,Yape,,0.0,843.6
2023-12-16,0,WAIRA-15940,onofrelara@hotmail.com,paid,Short,Hombre,La Molina,Transferencia,,0.0,691.08
2023-12-18,0,WAIRA-15953,kquero@gmail.com,paid,Saco,Hombre,Surquillo,Yape,,0.0,98.35
