Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
WAIRA-10005,ruperta14@canete.es,paid,2024-09-30 08:36:12.000000 UTC,unfulfilled,,true,PEN,866.88,10,0,876.88,,0.0,Estándar,2024-09-30 07:36:12.000000 UTC,1,Short Pedro Hombre - Rosado - M,161.79,183.43,SHOR-PED-ROS-M,true,true,pending,Domitila Luís Nicolau,Callejón Manola Armas 47,Callejón Manola Armas 47,,,San Isidro,91509,PE-LIM,PE,+34712 817 485,Domitila Luís Nicolau,Callejón Manola Armas 47,Callejón Manola Armas 47,,,San Isidro,91509,PE-LIM,PE,+34712 817 485,,,,Visa,3331a1e2-8cd7-4ee7-9d33-1367b2e4caae,0,WAIRA,4.7081129057442376e+18,,Low,web,0,,,,,,,,,,,+34712 817 485,,,Lima (Departamento),Lima (Departamento),8f3673ec-5772-4883-bac9-aa0d2b21fb4e,,,
WAIRA-10005,ruperta14@canete.es,paid,2024-09-30 08:36:12.000000 UTC,unfulfilled,,true,PEN,866.88,10,0,876.88,,0.0,Estándar,2024-09-30 07:36:12.000000 UTC,3,Chompa Fidela - Rosado - M,98.99,139.21,CHOM-FID-ROS-M,true,true,pending,Domitila Luís Nicolau,Callejón Manola Armas 47,Callejón Manola Armas 47,,,San Isidro,91509,PE-LIM,PE,+34712 817 485,Domitila Luís Nicolau,Callejón Manola Armas 47,Callejón Manola Armas 47,,,San Isidro,91509,PE-LIM,PE,+34712 817 485,,,,Visa,d6a0e53f-87c4-4d65-9911-218e6294623d,0,WAIRA,8.708531579473577e+18,,Low,web,0,,,,,,,,,,,+34712 817 485,,,Lima (Departamento),Lima (Departamento),fbbaec18-a73d-4da0-9143-677e08d22e8c,,,
WAIRA-10006,gervasioagullo@ballester-espanol.com,paid,2023-11-02 07:16:02.000000 UTC,fulfilled,2023-11-04 06:16:02.000000 UTC,false,PEN,190.17,10,0,200.17,,0.0,Estándar,2023-11-02 06:16:02.000000 UTC,1,Casaca Alcides - Gris - L,190.17,,CASA-ALC-GRI-L,true,true,fulfilled,Marcelino Ángel Sans Castro,Calle de Wilfredo Codina 50 Apt. 69 ,Calle de Wilfredo Codina 50 Apt. 69 ,,,San Luis,36410,PE-LIM,PE,+34996 704 272,Marcelino Ángel Sans Castro,Calle de Wilfredo Codina 50 Apt. 69 ,Calle de Wilfredo Codina 50 Apt. 69 ,,,San Luis,36410,PE-LIM,PE,+34996 704 272,,,,Yape,362ed9bb-1165-4256-ac0f-18a9d3464e52,0,WAIRA,6.28148093155982e+18,,Low,web,0,,,,,,,,,,,+34996 704 272,,,Lima (Departamento),Lima (Departamento),85916913-0bca-4af0-8afb-fe7303ad3919,,,
WAIRA-10007,lidia87@galan.org,paid,2023-06-04 10:01:03.000000 UTC,fulfilled,2023-06-06 09:01:03.000000 UTC,true,PEN,744.58,10,0,754.58,,0.0,Estándar,2023-06-04 09:01:03.000000 UTC,2,Pantalón Blas - Rosado - M,140.8,175.67,PANT-BLA-ROS-M,true,true,fulfilled,Toni Noguera Garmendia,Cuesta Vinicio Cornejo 16 Apt. 15 ,Cuesta Vinicio Cornejo 16 Apt. 15 ,,,Pueblo Libre,15631,PE-LIM,PE,+34701324097,Toni Noguera Garmendia,Cuesta Vinicio Cornejo 16 Apt. 15 ,Cuesta Vinicio Cornejo 16 Apt. 15 ,,,Pueblo Libre,15631,PE-LIM,PE,+34701324097,,,,Mercado Pago,c4a711c2-4a19-4948-9193-da9e62d0a4ff,0,WAIRA,8.7356116202008934e+18,,Low,web,0,,,,,,,,,,,+34701324097,,,Lima (Departamento),Lima (Departamento),8b901f23-ab3b-4b12-b1d2-8c1cee45bdac,,,
WAIRA-10007,lidia87@galan.org,paid,2023-06-04 10:01:03.000000 UTC,fulfilled,2023-06-06 09:01:03.000000 UTC,true,PEN,744.58,10,0,754.58,,0.0,Estándar,2023-06-04 09:01:03.000000 UTC,1,Saco Lalo - Negro - S,173.6,183.76,SACO-LAL-NEG-S,true,true,fulfilled,Toni Noguera Garmendia,Cuesta Vinicio Cornejo 16 Apt. 15 ,Cuesta Vinicio Cornejo 16 Apt. 15 ,,,Pueblo Libre,15631,PE-LIM,PE,+34701324097,Toni Noguera Garmendia,Cuesta Vinicio Cornejo 16 Apt. 15 ,Cuesta Vinicio Cornejo 16 Apt. 15 ,,,Pueblo Libre,15631,PE-LIM,PE,+34701324097,,,,Mercado Pago,f9a8d576-7930-4ee3-bc7d-31578512009a,0,WAIRA,9.373567082440706e+18,,Low,web,0,,,,,,,,,,,+34701324097,,,Lima (Departamento),Lima (Departamento),edd521fa-937c-4221-9491-dc7be9778910,,,
WAIRA-10007,lidia87@galan.org,paid,2023-06-04 10:01:03.000000 UTC,fulfilled,2023-06-06 09:01:03.000000 UTC,true,PEN,744.58,10,0,754.58,,0.0,Estándar,2023-06-04 09:01:03.000000 UTC,3,Polera Andrés Hombre - Gris - XS,96.46,,POLE-AND-GRI-XS,true,true,fulfilled,Toni Noguera Garmendia,Cuesta Vinicio Cornejo 16 Apt. 15 ,Cuesta Vinicio Cornejo 16 Apt. 15 ,,,Pueblo Libre,15631,PE-LIM,PE,+34701324097,Toni Noguera Garmendia,Cuesta Vinicio Cornejo 16 Apt. 15 ,Cuesta Vinicio Cornejo 16 Apt. 15 ,,,Pueblo Libre,15631,PE-LIM,PE,+34701324097,,,,Mercado Pago,8e3100ff-eed9-44dc-bd7c-47c3369de2d5,0,WAIRA,5.6637648846143007e+18,,Low,web,0,,,,,,,,,,,+34701324097,,,Lima (Departamento),Lima (Departamento),f9a59e05-f3b0-4222-8a72-d87985fc5e81,,,
WAIRA-10008,hernan33@gmail.com,paid,2024-08-23 00:01:18.000000 UTC,fulfilled,2024-08-24 23:01:18.000000 UTC,true,PEN,326.36,10,0,336.36,,0.0,Estándar,2024-08-22 23:01:18.000000 UTC,1,Blusa Aarón - Marrón - M,98.05,,BLUS-AAR-MAR-M,true,true,fulfilled,Ibán Galindo Pozuelo,Vial Tamara Mayoral 316,Vial Tamara Mayoral 316,,,San Isidro,56556,PE-LIM,PE,+34 728 47 25 31,Ibán Galindo Pozuelo,Vial Tamara Mayoral 316,Vial Tamara Mayoral 316,,,San Isidro,56556,PE-LIM,PE,+34 728 47 25 31,,,,Yape,dbfb955c-b8f3-4f70-a541-55ef97e9fdcb,0,WAIRA,2.395192887965206e+18,,Low,web,0,,,,,,,,,,,+34 728 47 25 31,,,Lima (Departamento),Lima (Departamento),35e77fd2-8eac-44a5-989d-ea565df530bd,,,
WAIRA-10008,hernan33@gmail.com,paid,2024-08-23 00:01:18.000000 UTC,fulfilled,2024-08-24 23:01:18.000000 UTC,true,PEN,326.36,10,0,336.36,,0.0,Estándar,2024-08-22 23:01:18.000000 UTC,1,Casaca Diego Hombre - Negro - M,84.7,103.15,CASA-DIE-NEG-M,true,true,fulfilled,Ibán Galindo Pozuelo,Vial Tamara Mayoral 316,Vial Tamara Mayoral 316,,,San Isidro,56556,PE-LIM,PE,+34 728 47 25 31,Ibán Galindo Pozuelo,Vial Tamara Mayoral 316,Vial Tamara Mayoral 316,,,San Isidro,56556,PE-LIM,PE,+34 728 47 25 31,,,,Yape,8a875e15-cb85-41fa-9c8c-5eab3e92b74a,0,WAIRA,7.0992223341196923e+18,,Low,web,0,,,,,,,,,,,+34 728 47 25 31,,,Lima (Departamento),Lima (Departamento),04a44114-4c14-49f5-8c29-dc013250baca,,,
WAIRA-10008,hernan33@gmail.com,paid,2024-08-23 00:01:18.000000 UTC,fulfilled,2024-08-24 23:01:18.000000 UTC,true,PEN,326.36,10,0,336.36,,0.0,Estándar,2024-08-22 23:01:18.000000 UTC,1,Pantalón Adelardo - Rosado - XS,143.61,175.94,PANT-ADE-ROS-XS,true,true,fulfilled,Ibán Galindo Pozuelo,Vial Tamara Mayoral 316,Vial Tamara Mayoral 316,,,San Isidro,56556,PE-LIM,PE,+34 728 47 25 31,Ibán Galindo Pozuelo,Vial Tamara Mayoral 316,Vial Tamara Mayoral 316,,,San Isidro,56556,PE-LIM,PE,+34 728 47 25 31,,,,Yape,f5fab212-fadc-4a0f-ae18-7e96c5d7a268,0,WAIRA,4.0375271685916134e+18,,Low,web,0,,,,,,,,,,,+34 728 47 25 31,,,Lima (Departamento),Lima (Departamento),47cd15a5-5a32-44d5-bc03-f6bdfa21c3d8,,,
WAIRA-10009,emma15@aguila.net,paid,2023-03-24 19:47:25.000000 UTC,fulfilled,2023-03-26 18:47:25.000000 UTC,true,PEN,454.48,10,0,464.48,,0.0,Estándar,2023-03-24 18:47:25.000000 UTC,1,Pantalón Miguel Hombre - Blanco - M,91.4,,PANT-MIG-BLA-M,true,true,fulfilled,Graciano Cobos Malo,Cuesta de Matías Feijoo 20 Apt. 53 ,Cuesta de Matías Feijoo 20 Apt. 53 ,,,Miraflores,94762,PE-LIM,PE,+34 738032608,Graciano Cobos Malo,Cuesta de Matías Feijoo 20 Apt. 53 ,Cuesta de Matías Feijoo 20 Apt. 53 ,,,Miraflores,94762,PE-LIM,PE,+34 738032608,,,,Visa,bd8beb34-747e-4d3a-89d7-116c63647bb7,0,WAIRA,1.3555095425963414e+19,,Low,web,0,,,,,,,,,,,+34 738032608,,,Lima (Departamento),Lima (Departamento),c021f59f-fd93-4e51-b342-28601811c7cd,,,
WAIRA-10009,emma15@aguila.net,paid,2023-03-24 19:47:25.000000 UTC,fulfilled,2023-03-26 18:47:25.000000 UTC,true,PEN,454.48,10,0,464.48,,0.0,Estándar,2023-03-24 18:47:25.000000 UTC,1,Polera Fernanda Mujer - Celeste - M,110.91,,POLE-FER-CEL-M,true,true,fulfilled,Graciano Cobos Malo,Cuesta de Matías Feijoo 20 Apt. 53 ,Cuesta de Matías Feijoo 20 Apt. 53 ,,,Miraflores,94762,PE-LIM,PE,+34 738032608,Graciano Cobos Malo,Cuesta de Matías Feijoo 20 Apt. 53 ,Cuesta de Matías Feijoo 20 Apt. 53 ,,,Miraflores,94762,PE-LIM,PE,+34 738032608,,,,Visa,6aa9d3dd-f1e3-4c4c-afa7-93a5bf34184b,0,WAIRA,3.9814304820655084e+18,,Low,web,0,,,,,,,,,,,+34 738032608,,,Lima (Departamento),Lima (Departamento),d8ef2477-d0b9-4505-8303-4ae70cd3de21,,,
WAIRA-10009,emma15@aguila.net,paid,2023-03-24 19:47:25.000000 UTC,fulfilled,2023-03-26 18:47:25.000000 UTC,true,PEN,454.48,10,0,464.48,,0.0,Estándar,2023-03-24 18:47:25.000000 UTC,1,Falda Diego Hombre - Verde - M,140.09,176.92,FALD-DIE-VER-M,true,true,fulfilled,Graciano Cobos Malo,Cuesta de Matías Feijoo 20 Apt. 53 ,Cuesta de Matías Feijoo 20 Apt. 53 ,,,Miraflores,94762,PE-LIM,PE,+34 738032608,Graciano Cobos Malo,Cuesta de Matías Feijoo 20 Apt. 53 ,Cuesta de Matías Feijoo 20 Apt. 53 ,,,Miraflores,94762,PE-LIM,PE,+34 738032608,,,,Visa,3da58f39-4414-440d-990a-0572f6d0f9ac,0,WAIRA,1.3290130154965582e+19,,Low,web,0,,,,,,,,,,,+34 738032608,,,Lima (Departamento),Lima (Departamento),efb825b8-5f8c-4651-9fbc-1b3b1bfba287,,,
WAIRA-10009,emma15@aguila.net,paid,2023-03-24 19:47:25.000000 UTC,fulfilled,2023-03-26 18:47:25.000000 UTC,true,PEN,454.48,10,0,464.48,,0.0,Estándar,2023-03-24 18:47:25.000000 UTC,1,Short Geraldo - Beige - M,112.08,150.04,SHOR-GER-BEI-M,true,true,fulfilled,Graciano Cobos Malo,Cuesta de Matías Feijoo 20 Apt. 53 ,Cuesta de Matías Feijoo 20 Apt. 53 ,,,Miraflores,94762,PE-LIM,PE,+34 738032608,Graciano Cobos Malo,Cuesta de Matías Feijoo 20 Apt. 53 ,Cuesta de Matías Feijoo 20 Apt. 53 ,,,Miraflores,94762,PE-LIM,PE,+34 738032608,,,,Visa,0518b695-e6fa-4fcb-9394-8e50183ce829,0,WAIRA,1.0955833681035348e+19,,Low,web,0,,,,,,,,,,,+34 738032608,,,Lima (Departamento),Lima (Departamento),3c824a36-e630-476e-8093-fbda5c9517fc,,,
WAIRA-10010,leticiallorente@gmail.com,paid,2023-10-12 17:48:43.000000 UTC,unfulfilled,,true,PEN,115.96,10,0,125.96,,0.0,Estándar,2023-10-12 16:48:43.000000 UTC,1,Blusa Fernanda Mujer - Marrón - XL,115.96,,BLUS-FER-MAR-XL,true,true,pending,Germán del Fonseca,Calle Pepito Echeverría 693 Puerta 8 ,Calle Pepito Echeverría 693 Puerta 8 ,,,Pueblo Libre,60934,PE-LIM,PE,+34715 211 530,Germán del Fonseca,Calle Pepito Echeverría 693 Puerta 8 ,Calle Pepito Echeverría 693 Puerta 8 ,,,Pueblo Libre,60934,PE-LIM,PE,+34715 211 530,,,,Yape,1be41477-ffc7-411d-b2d2-e8897a6d285b,0,WAIRA,8.2128832900211845e+18,,Low,web,0,,,,,,,,,,,+34715 211 530,,,Lima (Departamento),Lima (Departamento),b92f1aec-b891-4195-9d0d-990fa77773ff,,,
WAIRA-10011,oenriquez@castilla.es,paid,2024-01-12 16:44:39.000000 UTC,fulfilled,2024-01-14 15:44:39.000000 UTC,true,PEN,87.89,10,0,97.89,,0.0,Estándar,2024-01-12 15:44:39.000000 UTC,1,Camisa Lucía Mujer - Rosado - L,87.89,,CAMI-LUC-ROS-L,true,true,fulfilled,Custodia Blazquez Santiago,Ronda Calixta Rivas 410 Apt. 12 ,Ronda Calixta Rivas 410 Apt. 12 ,,,La Molina,71298,PE-LIM,PE,+34937966630,Custodia Blazquez Santiago,Ronda Calixta Rivas 410 Apt. 12 ,Ronda Calixta Rivas 410 Apt. 12 ,,,La Molina,71298,PE-LIM,PE,+34937966630,,,,Visa,695b2840-981e-4b78-808a-adc8fd1fc048,0,WAIRA,1.6237885266374117e+19,,Low,web,0,,,,,,,,,,,+34937966630,,,Lima (Departamento),Lima (Departamento),d5529495-0971-4a72-af3c-9dffe50512ff,,,
WAIRA-10012,qsegui@barral.com,paid,2023-04-03 02:06:59.000000 UTC,fulfilled,2023-04-05 01:06:59.000000 UTC,true,PEN,339.36,10,0,349.36,,0.0,Estándar,2023-04-03 01:06:59.000000 UTC,3,Vestido Valeria Mujer - Azul - S,113.12,,VEST-VAL-AZU-S,true,true,fulfilled,Severiano Bejarano-Raya,Callejón de Adalberto Andrés 8 Puerta 0 ,Callejón de Adalberto Andrés 8 Puerta 0 ,,,Barranco,33753,PE-LIM,PE,+34707839223,Severiano Bejarano-Raya,Callejón de Adalberto Andrés 8 Puerta 0 ,Callejón de Adalberto Andrés 8 Puerta 0 ,,,Barranco,33753,PE-LIM,PE,+34707839223,,,,Mercado Pago,1e7fb483-9077-4bf8-ac11-4302fa02d355,0,WAIRA,9.53349992763053e+18,,Low,web,0,,,,,,,,,,,+34707839223,,,Lima (Departamento),Lima (Departamento),3036f07a-1bba-43a3-98ba-4f519d19bd78,,,
WAIRA-10013,zairasotelo@bermudez-verdejo.es,paid,2023-10-03 19:19:35.000000 UTC,fulfilled,2023-10-05 18:19:35.000000 UTC,false,PEN,403.83,10,0,413.83,,0.0,Estándar,2023-10-03 18:19:35.000000 UTC,1,Casaca Teodosio - Negro - XS,164.03,190.2,CASA-TEO-NEG-XS,true,true,fulfilled,Raúl Tenorio,Acceso de Fanny Benavides 128 Puerta 0 ,Acceso de Fanny Benavides 128 Puerta 0 ,,,Pueblo Libre,25473,PE-LIM,PE,+34648 545 133,Raúl Tenorio,Acceso de Fanny Benavides 128 Puerta 0 ,Acceso de Fanny Benavides 128 Puerta 0 ,,,Pueblo Libre,25473,PE-LIM,PE,+34648 545 133,,,,Mercado Pago,f6e7f064-d9f9-4828-aade-d8a659e9ce6d,0,WAIRA,2.4248473363082281e+18,,Low,web,0,,,,,,,,,,,+34648 545 133,,,Lima (Departamento),Lima (Departamento),d363ef6b-2ad6-401b-b89e-f573602d8d98,,,
